calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
,,,,,,,,,,,,Hybrid,,Cheddarwurst 2,,,,
,,,,,,,,,Space Dawg,Exodus Cheese,"Spokane Valley, WA",Hybrid,,Cheddarwurst,,,,
,,,,,,,,,,,"Portland, OR,Salem, OR,Beaverton, OR,Bend, OR,Newport, OR,Tacoma, WA",Hybrid,,Cheddarhead,,,,
,,,,,,,,,Exodus Cheese,Gobbstopper,"Bellingham, WA",Hybrid,,Bandersnatch,,,,
,,,,,,,,,LVPK,Gobbstopper,,Hybrid,,Cheshire Kush,,,,
,,,,,,,,,Colorado Clementines,God's Gift,,Hybrid,,God's Grove,,,,
,,,,,,,,,,,,Hybrid,,Nevada Privada,,,,
,,,,,,,,,,,"Peoria, AZ,Mesa, AZ,Scottsdale, AZ,Lompoc, CA,Moore, OK,Astoria, OR,Broken Arrow, OK,Del City, OK,El Sobrante, CA,Eugene, OR",Hybrid,,Lime OG,,,,
,,,,,,,,,,,"Los Angeles, CA,Sacramento, CA,Lompoc, CA,Torrance, CA,Dinosaur, CO,West Hollywood, CA,Moore, OK,Oklahoma City, OK,San Diego, CA,Alameda, CA",Hybrid,,Gelonade,,,,
,,,,,,,,,,,,Hybrid,,Petro Chem,,,,
,,,,,,,,,,,"Vancouver, WA,Seattle, WA,Mukilteo, WA,Friday Harbor, WA,Parkland, WA,Snohomish, WA,Spanaway, WA,Spokane, WA,Buckley, WA,Ephrata, WA",Hybrid,,Rainbow Chip,,,,
,,,,,,,,,,,"Eugene, OR,Millis, MA,Coos Bay, OR,Portland, OR,Springfield, OR",Hybrid,,Valley Vixen,,,,
,,,,,,,,,,,"Mesa, AZ,Walla Walla, WA,Anacortes, WA,Clarkston, WA,Everett, WA,Freeland, WA,Gilbert, AZ,Glendale, AZ,Gold Bar, WA,Inkster, MI",Hybrid,,Dosi-Cake,,,,
,,,,,,,,,,,"De Beque, CO,Parachute, CO",Hybrid,,Buddha Vesta,,,,
,,,,,,,,,,,"Silver Spring, MD,Rockville, MD,Salisbury, MD,Baltimore, MD,Cockeysville, MD,Ellicott City, MD,Germantown, MD,White Plains, MD,Annapolis, MD,Brandywine, MD",Hybrid,,Grapefruit Sour Dream,,,,
