calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:3.7072740130980386%,,,,"83,%,64,%,58,%,47,%,41,%,35,%,33,%,31,%,29,%,29,%,39,%,16,%,8,%,6,%,4,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Hungry, ,Insomnia, ,Stress, ,Anxiety, ,Depression, ,Pain, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,81,48 people reported 472 effects,Big Bud,Super Skunk,"Anchorage, AK,Oklahoma City, OK,Scottsdale, AZ,Bartlesville, OK,Ellensburg, WA,Kingston, OK,Mead, OK,North Pole, AK,Phoenix, AZ,Tempe, AZ",Indica,4.4 ,Incredible Bulk,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",17.5
--position:13.556686948191299%,,American Beauty,Blackberry Diesel,"78,%,51,%,48,%,35,%,35,%,33,%,29,%,28,%,28,%,19,%,21,%,12,%,2,%,2,%,2,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Headache, ,Paranoid, ",,295,210 people reported 1500 effects,Black Cherry Soda,Space Queen,"Kingston, WA,Seattle, WA,Salem, OR,Mount Vernon, WA,Bellingham, WA,Everett, WA,Spokane, WA,Portland, OR,Shoreline, WA,Mukilteo, WA",Indica,4.2 ,Plushberry,"width:170%,width:114%,width:58%","Pine,Herbal,Peppery","Pinene,Myrcene,Caryophyllene",17
--position:74.24441498605141%,,,,"57,%,50,%,49,%,44,%,36,%,31,%,27,%,23,%,22,%,14,%,13,%,4,%,2,%,1,%,1,%","Happy, ,Euphoric, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,176,118 people reported 812 effects,Kosher Kush,Tangie,"Seattle, WA,Portland, OR,Bellingham, WA,Everett, WA,Medford, OR,Bethesda, MD,Buffalo Grove, IL,Eugene, OR,Las Vegas, NV,McMinnville, OR",Hybrid,4.5 ,Kosher Tangie,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",20
--position:13.136147692723688%,,Green Mango,Anubis,"75,%,52,%,37,%,27,%,26,%,33,%,27,%,27,%,21,%,20,%,18,%,17,%,3,%,3,%,1,%","Relaxed, ,Happy, ,Focused, ,Uplifted, ,Sleepy, ,Stress, ,Pain, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ",,134,93 people reported 639 effects,Super Skunk,Jack Herer,"Oklahoma City, OK,Tulsa, OK,Anchorage, AK,Broken Arrow, OK,Glendale, AZ,Lawton, OK,Norman, OK,Nowata, OK,San Diego, CA,Sand Springs, OK",Indica,4.3 ,Somango,,,,20
--position:35.56495985430741%,,,,"62,%,55,%,41,%,31,%,31,%,34,%,31,%,31,%,24,%,24,%,37,%,10,%,10,%,6,%,3,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Tingly, ,Anxiety, ,Stress, ,Depression, ,ADD/ADHD, ,PTSD, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Paranoid, ,Anxious, ",,41,29 people reported 255 effects,Blackberry,True OG,"Phoenix, AZ,Seattle, WA,Everett, WA,Flagstaff, AZ,Portland, OR,Spokane, WA,Arlington, WA,Beaverton, OR,Blanchard, OK,Canon City, CO",Hybrid,4.1 ,Gummy Bears,,,,19.5
--position:18.490009354728375%,,,,"75,%,61,%,47,%,33,%,30,%,39,%,26,%,24,%,20,%,19,%,20,%,13,%,2,%,2,%,1,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Sleepy, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Headache, ,Dizzy, ",,125,89 people reported 596 effects,Purple Kush,Northern Lights,"Vancouver, WA,Oak Harbor, WA,Portland, OR,Kingston, WA,Everson, WA,Seattle, WA,Bellingham, WA,Bend, OR,Everett, WA,Tacoma, WA",Indica,4.5 ,Black Lime Special Reserve,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",18
--position:67.46940967116186%,,,,"53,%,53,%,53,%,47,%,33,%,41,%,29,%,28,%,22,%,17,%,27,%,12,%,6,%,4,%,4,%","Euphoric, ,Relaxed, ,Happy, ,Uplifted, ,Energetic, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,224,163 people reported 1250 effects,Sensi Star,NYC Diesel,"Fairhaven, MA,Denver, CO,Las Vegas, NV,Ayer, MA,Fernley, NV,Tulsa, OK,Boca Raton, FL,Dinosaur, Co,Parachute, CO,Plymouth Meeting, PA",Hybrid,4.3 ,Bio-Diesel,,,,19
,,,,,,,13,,Candyland,Sour Diesel,"Portland, OR,Tulsa, OK,Los Angeles, CA,San Francisco, CA,Spokane, WA,Astoria, OR,Cotati, CA,Lompoc, CA,Oregon City, OR,Modesto, CA",Sativa,4.3 ,SPK,,,,18
--position:39.22704108451667%,,,,"61,%,58,%,42,%,41,%,29,%,40,%,34,%,33,%,31,%,21,%,25,%,14,%,6,%,4,%,3,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Focused, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,154,112 people reported 892 effects,Blue Moonshine,Blueberry,"Seattle, WA,Portland, OR,Corvallis, OR,Anchorage, AK,Bellingham, WA,Brownsville, OR,Choctaw, OK,Coos Bay, OR,Davis, CA,Denver, CO",Hybrid,4.1 ,Blue OG,"width:170%,width:114%,width:58%","Citrus,Peppery,Herbal","Limonene,Caryophyllene,Myrcene",16
--position:63.84650981031438%,,,,"66,%,56,%,42,%,39,%,32,%,47,%,42,%,38,%,35,%,28,%,13,%,3,%,3,%,2,%,2,%","Relaxed, ,Happy, ,Uplifted, ,Focused, ,Energetic, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Inflammation, ,Dry mouth, ,Dry eyes, ,Headache, ,Anxious, ,Paranoid, ",,136,107 people reported 884 effects,Neville's Haze,Super Silver Haze,"Albany, OR,Eugene, OR,Portland, OR,Romeoville, IL,Litchfield, IL,Allston, MA,Medford, OR,Morris, IL,Ashland, OR,Central Point, OR",Sativa,4.5 ,MediHaze,,,,
--position:97.8134508842403%,,Sasquatch Sap,Sister Glue,"65,%,65,%,62,%,53,%,46,%,39,%,32,%,27,%,23,%,20,%,23,%,9,%,6,%,6,%,6,%","Energetic, ,Euphoric, ,Happy, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Depression, ,Fatigue, ,Pain, ,Dry mouth, ,Anxious, ,Dizzy, ,Dry eyes, ,Paranoid, ",,63,43 people reported 350 effects,Chocolate Thai,Sour Diesel,"Seattle, WA,Bothell, WA,Las Vegas, NV,Mount Vernon, WA,Renton, WA,Belfair, WA,Broken Arrow, OK,Burien, WA,Everett, WA,Otis Orchards, WA",Sativa,4.7 ,Chocolate Diesel,,,,20.5
--position:14.730861572527543%,,Master Jedi,Galactica OG,"79,%,56,%,55,%,45,%,40,%,36,%,35,%,30,%,21,%,20,%,27,%,19,%,8,%,5,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Sleepy, ,Uplifted, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ",,315,214 people reported 1837 effects,SFV OG Kush,Death Star,"Bellingham, WA,Clarkston, WA,Detroit, MI,Everett, WA,Nichols Hills, OK,Bremerton, WA,Collinsville, IL,Mukilteo, WA,Port Hadlock-Irondale, WA,Pullman, WA",Indica,4.4 ,Jedi Kush,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",18.5
--position:35.65451897866214%,,,,"63,%,58,%,43,%,40,%,31,%,45,%,38,%,33,%,27,%,22,%,27,%,16,%,4,%,4,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,269,184 people reported 1478 effects,Granddaddy Purple,Blue Dream,"Seattle, WA,Phoenix, AZ,Everett, WA,Maple Valley, WA,Oklahoma City, OK,Chandler, AZ,Denver, CO,Eugene, OR,Long Beach, CA,Mesa, AZ",Hybrid,4.4 ,Purple Dream,,,,15.5
--position:85.74320894030001%,,,,"58,%,47,%,45,%,41,%,39,%,32,%,31,%,26,%,16,%,12,%,22,%,8,%,7,%,7,%,5,%","Happy, ,Relaxed, ,Uplifted, ,Creative, ,Euphoric, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,167,116 people reported 772 effects,Cinderella 99,Trainwreck,"Seattle, WA,Vancouver, WA,Everett, WA,Spokane, WA,Oak Harbor, WA,Bellingham, WA,Lynnwood, WA,Ferndale, WA,Port Angeles, WA,Renton, WA",Sativa,4.6 ,Dirty Girl,,,,19
,,,,,,,4,,Do-Si-Dos,Purple Punch,"San Francisco, CA,Los Angeles, CA,Oakland, CA,San Jose, CA,Everett, WA,Ojai, CA,Southern CA, CA,La Mesa, CA,Lynnwood, WA,Santa Cruz, CA",Indica,5 ,Dosi Punch,,,,
--position:97.32992043485336%,,,,"39,%,37,%,37,%,36,%,32,%,24,%,19,%,19,%,18,%,14,%,11,%,4,%,3,%,1,%,1,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Creative, ,Depression, ,Stress, ,Fatigue, ,Anxiety, ,Pain, ,Dry mouth, ,Dry eyes, ,Anxious, ,Dizzy, ,Paranoid, ",,77,61 people reported 308 effects,,,"Arlington Heights, IL,Buffalo Grove, IL,Chicago, IL,Posen, IL,Canton, IL,Champaign, IL,Effingham, IL,Eugene, OR,Gresham, OR,Highland Park, IL",Sativa,4.5 ,Sojay Haze,,,,
--position:39.07616416510121%,,,,"66,%,65,%,56,%,44,%,40,%,41,%,41,%,31,%,27,%,20,%,39,%,20,%,12,%,6,%,4,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Hungry, ,Pain, ,Stress, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Anxious, ",,157,100 people reported 937 effects,,,"Shawnee, OK,Needles, CA,Bixby, OK,Cushing, OK,Norman, OK,Sand Springs, OK,Skiatook, OK,Tulsa, OK",Hybrid,4.3 ,Snow White,,,,17
--position:0.6209680111438021%,,,,"87,%,70,%,41,%,36,%,21,%,47,%,45,%,34,%,23,%,23,%,32,%,12,%,7,%,3,%,1,%","Relaxed, ,Sleepy, ,Euphoric, ,Happy, ,Hungry, ,Insomnia, ,Pain, ,Stress, ,Inflammation, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,78,55 people reported 422 effects,,,"Tulsa, OK,Astoria, OR,McMinnville, OR,Norman, OK,Milwaukie, OR,Newcastle, OK,Pendleton, OR,Pocola, OK,Portland, OR,Poulsbo, WA",Indica,4.4 ,The Black,,,,16.5
--position:46.185137495792844%,15.5,,,,,,23,,,,"Bonner Springs, KS,Oklahoma City, OK,Portland, OR,Webb City, MO,Asheville, NC,Atlanta, GA,Bourne, MA,Edmond, OK,Memphis, TN,Greensboro, NC",Hybrid,4.8 ,Cherry Wine,"width:170%,width:114%,width:58%","Herbal,Peppery,Hoppy","Myrcene,Caryophyllene,Humulene",15.5
--position:95.35181659867217%,,,,"66,%,50,%,46,%,39,%,38,%,31,%,26,%,23,%,16,%,15,%,26,%,20,%,8,%,3,%,1,%","Happy, ,Uplifted, ,Energetic, ,Talkative, ,Euphoric, ,Depression, ,Stress, ,Anxiety, ,Fatigue, ,Pain, ,Dry mouth, ,Dry eyes, ,Headache, ,Paranoid, ,Anxious, ",,174,112 people reported 800 effects,,,"Washington, DC,Portland, OR,Everett, WA,Seattle, WA,Spokane, WA,Spokane Valley, WA,Beaverton, OR,Bellingham, WA,Ritzville, WA,Astoria, OR",Sativa,4.2 ,Panama Red,,,,
--position:1.3659495138620248%,,,,"83,%,73,%,48,%,41,%,38,%,43,%,42,%,41,%,26,%,26,%,30,%,16,%,11,%,5,%,4,%","Relaxed, ,Sleepy, ,Hungry, ,Happy, ,Euphoric, ,Pain, ,Insomnia, ,Stress, ,Lack of appetite, ,Anxiety, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,237,165 people reported 1471 effects,,,"Battle Creek, MI",Indica,4.4 ,Chemo,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",17.5
,15.5,,,,,,17,,,,"Atlanta, GA,Eugene, OR,Kennesaw, GA,Portland, OR,Canton, GA,Charlotte, NC,Greensboro, NC,Knoxville, TN,Manzanita, OR,Marietta, GA",Hybrid,4.3 ,Elektra,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",15.5
--position:45.47636937477978%,,,,"80,%,65,%,61,%,46,%,30,%,34,%,30,%,23,%,19,%,15,%,19,%,11,%,7,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Giggly, ,Stress, ,Pain, ,Depression, ,Insomnia, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Paranoid, ",,45,26 people reported 162 effects,,,"Mount Vernon, WA,Renton, WA,Spokane, WA,Los Angeles, CA,Bellingham, WA,Portland, OR,San Francisco, CA,Anacortes, WA,Arlington, WA,California, CA",Hybrid,4.9 ,Chiquita Banana,"width:170%,width:114%,width:58%","Citrus,Herbal,Pine","Limonene,Myrcene,Pinene",26
--position:10.94019436110859%,,,,"46,%,44,%,38,%,36,%,30,%,35,%,34,%,32,%,22,%,16,%,34,%,19,%,6,%,4,%,2,%","Sleepy, ,Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Stress, ,Insomnia, ,Pain, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,196,149 people reported 922 effects,,,"Hooker, OK,Tulsa, OK,Ada, OK,Boulder, CO,Burton, MI,Detroit, MI,Lapeer, MI,Los Angeles, CA,Muskegon, MI,Northglenn, CO",Indica,4.3 ,Mars OG,"width:170%,width:114%,width:58%","Peppery,Citrus,Herbal","Caryophyllene,Limonene,Myrcene",20
--position:68.09079620393862%,,,,"71,%,66,%,66,%,64,%,45,%,40,%,35,%,26,%,21,%,21,%,33,%,9,%,4,%,4,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Giggly, ,Depression, ,Stress, ,Pain, ,Anxiety, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ",,69,42 people reported 347 effects,,,"Denver, CO,Denver, Co,Englewood, CO,Fraser, CO",Hybrid,4.7 ,Gucci OG,,,,
--position:64.68912166273557%,,,,"50,%,47,%,41,%,38,%,32,%,41,%,35,%,29,%,20,%,14,%,14,%,14,%,8,%,5,%,2,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Depression, ,Pain, ,Anxiety, ,Lack of appetite, ,Dry eyes, ,Dry mouth, ,Anxious, ,Headache, ,Dizzy, ",,44,34 people reported 208 effects,Gorilla Biscuit,California Orange,"Denver, CO,Bentonville, AR,Texarkana, AR,Fort Collins, CO,Helena-West Helena, AR,Plymouth Meeting, PA,Pueblo, CO,Ayer, MA,Canon City, CO,Clinton, AR",Hybrid,4.5 ,Ecto Cooler,,,,
--position:33.29293288400709%,,,,"64,%,55,%,41,%,41,%,38,%,23,%,20,%,20,%,20,%,20,%,32,%,14,%,14,%,8,%,2,%","Relaxed, ,Happy, ,Uplifted, ,Focused, ,Creative, ,Stress, ,Fatigue, ,Anxiety, ,Depression, ,Pain, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Paranoid, ,Anxious, ",,51,34 people reported 264 effects,Lavender,Bubble Gum,"San Francisco, CA,Seattle, WA,Chandler, AZ,Lompoc, CA,Vancouver, WA,Chevy Chase, MD,Clarkston, WA,Eugene, OR,Langley, OK,Medford, OR",Hybrid,4.3 ,Melon Gum,,,,
--position:17.123978814875418%,,,,"70,%,54,%,40,%,30,%,26,%,34,%,27,%,23,%,21,%,20,%,13,%,6,%,5,%,1,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Sleepy, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Headache, ,Anxious, ,Paranoid, ",,156,113 people reported 736 effects,,,"Silver Spring, MD,Portland, OR,Eugene, OR,Las Vegas, NV,Seattle, WA,Salem, OR,Everett, WA,Bend, OR,Tulsa, OK,Baltimore, MD",Indica,4.6 ,Strawberry Fields,"width:170%,width:114%,width:58%","Fruity,Herbal,Pine","Terpinolene,Myrcene,Pinene",17.5
--position:86.46928933635694%,,,,"74,%,71,%,56,%,53,%,43,%,51,%,48,%,33,%,30,%,25,%,20,%,15,%,7,%,5,%,2,%","Happy, ,Uplifted, ,Euphoric, ,Relaxed, ,Creative, ,Depression, ,Stress, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",,57,39 people reported 377 effects,,,"Justice, IL,Denver, CO,McMinnville, OR,Collinsville, IL,Fulton, IL,Naperville, IL,Springfield, IL,Arvada, CO,Broken Arrow, OK,Central Point, OR",Sativa,4.6 ,Stardawg Guava,,,,
--position:19.381406032393155%,,,,"56,%,40,%,40,%,26,%,24,%,34,%,30,%,30,%,28,%,20,%,14,%,12,%,10,%,10,%,2,%","Relaxed, ,Euphoric, ,Happy, ,Uplifted, ,Focused, ,Stress, ,Anxiety, ,Depression, ,Pain, ,PTSD, ,Dry mouth, ,Anxious, ,Dry eyes, ,Paranoid, ,Dizzy, ",,70,50 people reported 342 effects,,,"Oklahoma City, OK,Manchester, ME,Northglenn, CO,Shoreline, WA,Ardmore, OK,Aurora, CO,Chevy Chase, MD,De Beque, CO,Edgewater, CO,Edmond, OK",Hybrid,4.4 ,Mandarin Dreams,,,,
--position:7.0936834924113406%,,,,"82,%,57,%,53,%,48,%,32,%,45,%,36,%,35,%,29,%,22,%,33,%,17,%,7,%,3,%,1,%","Relaxed, ,Happy, ,Sleepy, ,Euphoric, ,Uplifted, ,Pain, ,Stress, ,Insomnia, ,Anxiety, ,Depression, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,176,133 people reported 1053 effects,Herijuana,Lamb's Bread,,Hybrid,4.5 ,Black Tuna,,,,
--position:78.59392562966565%,,,,"53,%,45,%,44,%,42,%,34,%,38,%,31,%,27,%,19,%,14,%,27,%,14,%,6,%,4,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Energetic, ,Stress, ,Anxiety, ,Depression, ,Pain, ,ADD/ADHD, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Headache, ",,194,143 people reported 994 effects,,,"Ferndale, WA,Denver, CO,Seattle, WA,Colorado Springs, CO,Everett, WA,Portland, OR,Bremerton, WA,Las Vegas, NV,Spokane, WA,Blythe, CA",Hybrid,4 ,Lemon Drop,,,,
--position:34.6423677449743%,,,,"57,%,55,%,50,%,42,%,40,%,46,%,35,%,28,%,26,%,17,%,34,%,18,%,12,%,9,%,6,%","Euphoric, ,Happy, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Nausea, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",,182,125 people reported 1025 effects,Blueberry,White Widow,"Boulder, CO,Chickasha, OK,Oklahoma City, Oklahoma,Olympia, WA,San Diego, CA,Spokane Valley, WA,Spokane, WA",Indica,4 ,White Berry,,,,
--position:10.88548289522281%,,,,"73,%,35,%,32,%,32,%,20,%,41,%,41,%,38,%,20,%,20,%,26,%,8,%,5,%,2,%","Relaxed, ,Happy, ,Sleepy, ,Uplifted, ,Euphoric, ,Pain, ,Stress, ,Anxiety, ,Insomnia, ,Depression, ,Dry mouth, ,Dizzy, ,Dry eyes, ,Headache, ",,48,34 people reported 198 effects,,,"Seattle, WA,Bellingham, WA,Everett, WA,Spokane, WA,Portland, OR,Oak Harbor, WA,Denver, CO,Shelton, WA,Shoreline, WA,Vancouver, WA",Indica,4.5 ,Sweet and Sour Widow,,,,
--position:87.17802365892652%,,,,"64,%,59,%,57,%,54,%,50,%,37,%,35,%,33,%,22,%,20,%,23,%,11,%,8,%,3,%,3,%","Happy, ,Uplifted, ,Euphoric, ,Relaxed, ,Creative, ,Anxiety, ,Depression, ,Stress, ,Fatigue, ,Pain, ,Dry mouth, ,Paranoid, ,Dry eyes, ,Anxious, ,Dizzy, ",,96,59 people reported 507 effects,Northern Lights,Jack Herer,"Bellingham, WA,Seattle, WA,Bothell, WA,Bremerton, WA,Fife, WA,Mountlake Terrace, WA,Oakland, CA,Ocean Shores, WA,Parkland, WA,Port Orchard, WA",Hybrid,4.5 ,Dragon's Breath,,,,16.5
--position:58.32058017900604%,,,,"67,%,65,%,55,%,53,%,35,%,52,%,44,%,37,%,37,%,24,%,32,%,20,%,5,%,2,%,2,%","Happy, ,Relaxed, ,Uplifted, ,Euphoric, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Dizzy, ",,196,137 people reported 1293 effects,Granddaddy Purple,Sour Diesel,"Portland, OR,Seattle, WA,Mount Vernon, WA,Bellingham, WA,Eugene, OR,Salem, OR,Berwick, ME,Bremerton, WA,Hood River, OR,Lacey, WA",Hybrid,4.2 ,Sour Grape,"width:170%,width:114%,width:58%","Herbal,Pine,Peppery","Myrcene,Pinene,Caryophyllene",19
--position:37.384053130566976%,,,,"72,%,58,%,47,%,44,%,28,%,36,%,35,%,25,%,20,%,20,%,17,%,17,%,9,%,8,%,5,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Lack of appetite, ,Dry eyes, ,Dry mouth, ,Paranoid, ,Anxious, ,Dizzy, ",,102,74 people reported 589 effects,Chocolate Kush,Blackberry Kush,"Portland, OR,Salem, OR,Seattle, WA,Medford, OR,Eugene, OR,Bend, OR,Spokane, WA,Everett, WA,Corvallis, OR,Anacortes, WA",Hybrid,4.5 ,Chocolate Hashberry,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",16.5
--position:46.185137495792844%,,,,"75,%,66,%,60,%,57,%,30,%,39,%,36,%,27,%,24,%,21,%,15,%,12,%,6,%,3,%","Relaxed, ,Happy, ,Uplifted, ,Euphoric, ,Giggly, ,Stress, ,Anxiety, ,Pain, ,Depression, ,PTSD, ,Dry eyes, ,Dry mouth, ,Dizzy, ,Anxious, ",,54,33 people reported 264 effects,,,"Silver Spring, MD,Portland, OR,Lompoc, CA,San Diego, CA,Los Angeles, CA,Cannon Beach, OR,San Francisco, CA,Astoria, OR,Clackamas, OR,Davis, CA",Hybrid,4.6 ,Tangie Biscotti,,,,
--position:71.02817095408906%,,,,,,,32,,DJ Short Blueberry,Headband,"Phoenix, AZ,Chandler, AZ,Lake Havasu City, AZ,Detroit, MI,Tucson, AZ,Chatsworth, CA,Flagstaff, AZ,Glendale, AZ,Mesa, AZ,Pueblo, CO",Hybrid,4.3 ,Pink Starburst,,,,21
--position:72.65970993333737%,,Omega,Northern Cross,"55,%,50,%,48,%,45,%,39,%,39,%,38,%,28,%,27,%,16,%,31,%,17,%,7,%,5,%,4,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Nausea, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",,377,271 people reported 2091 effects,Trainwreck,White Widow,"Seattle, WA,Everett, WA,Tacoma, WA,Spokane, WA,Bellingham, WA,Pullman, WA,Bremerton, WA,Eugene, OR,Mount Vernon, WA,Portland, OR",Hybrid,4.1 ,Permafrost,"width:170%,width:114%,width:58%","Peppery,Herbal,Pine","Caryophyllene,Myrcene,Pinene",17
--position:37.79558036231488%,,,,"89,%,55,%,47,%,36,%,34,%,42,%,34,%,31,%,28,%,28,%,21,%,13,%,7,%,7,%,5,%","Relaxed, ,Happy, ,Uplifted, ,Creative, ,Euphoric, ,Pain, ,Depression, ,Stress, ,Insomnia, ,Inflammation, ,Dry mouth, ,Dry eyes, ,Headache, ,Paranoid, ,Anxious, ",,59,38 people reported 350 effects,,,"Collinsville, IL,Los Angeles, CA,Bingen, WA,Canton, IL,Hines, OR,Mendocino, CA,Olympia, WA",Indica,4.2 ,8 Ball Kush,,,,
--position:95.44548122503222%,,,,"65,%,61,%,44,%,42,%,40,%,44,%,42,%,36,%,36,%,19,%,19,%,10,%,10,%,6,%,4,%","Uplifted, ,Happy, ,Energetic, ,Relaxed, ,Euphoric, ,Stress, ,Pain, ,Depression, ,Anxiety, ,Nausea, ,Dry mouth, ,Anxious, ,Dry eyes, ,Dizzy, ,Paranoid, ",,65,47 people reported 385 effects,,,"Bend, OR,Boulder, CO,Brookline, MA,Durant, OK,Eugene, OR,Fryeburg, ME,Las Vegas, NV,Laurel, MD,Rainier, OR,Reno, NV",Sativa,4.2 ,Hurricane,,,,
--position:86.53060584451376%,,,,"69,%,58,%,53,%,51,%,48,%,34,%,32,%,32,%,25,%,19,%,15,%,7,%,5,%,3,%,2,%","Happy, ,Aroused, ,Euphoric, ,Uplifted, ,Relaxed, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Nausea, ,Dry mouth, ,Anxious, ,Dry eyes, ,Dizzy, ,Headache, ",,134,94 people reported 833 effects,Colombian Gold,G13,"Mount Vernon, WA,Lake Stevens, WA,Cottage Grove, OR,Sequim, WA,Sparks, NV",Sativa,4.4 ,Love Potion #1,,,,
,,,,,,,6,,Watermelon Zkittlez,Lemon Tree,"Oak Harbor, WA,Detroit, MI,Flint, MI,Las Vegas, NV,San Diego, CA,Ann Arbor, MI,Lapeer, MI,Los Angeles, CA,Palm Springs, CA,Seattle, WA",Hybrid,4.5 ,Melonade,,,,20.5
--position:82.76912754761672%,,,,"68,%,53,%,53,%,43,%,40,%,24,%,19,%,16,%,16,%,9,%,22,%,7,%,7,%,7,%,3,%","Happy, ,Uplifted, ,Relaxed, ,Euphoric, ,Energetic, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Anxious, ,Headache, ",,203,126 people reported 858 effects,,,"Las Vegas, NV,Denver, CO,Renton, WA,Portland, OR,Seattle, WA,Bend, OR,San Diego, CA,Ephrata, WA,Fort Collins, CO,Goldendale, WA",Hybrid,4.2 ,Tangerine,,,,14.5
